Date,XLF_ret1,XOP_ret1,XLK_ret1,,,,,,,,,,,,,,,
12/31/13,FILL IN THE REST OF THE CALCS,,,,,,,,,,,,,,,,,
6/13/14,0.000442208,0.011531711,0.005803436,,,,,,,,,,,,,,,
6/16/14,-0.004865488,0.002602359,0,,,,,,,,,,,,,,,
6/17/14,0.010222197,0.00173029,0.002360704,,,,,,,,,,,,,,,
6/18/14,0.005719487,0.010734413,0.005232698,,,,,,,,,,,,,,,
6/19/14,-0.001312381,0.010131889,-0.001821946,,,,,,,,,,,,,,,
6/20/14,0.003958147,0.008621009,-0.002200446,,,,,,,,,,,,,,,
6/23/14,0.002189934,0.001800625,0.002887779,,,,,,,,,,,,,,,
6/24/14,-0.006555963,-0.038466378,-0.00523558,,,,,,,,,,,,,,,
6/25/14,0.000879801,0.015952112,0.003947718,,,,,,,,,,,,,,,
6/26/14,-0.003516177,-0.002452775,-0.001048512,,,,,,,,,,,,,,,
6/27/14,0.003969714,0.004672361,0.006034861,,,,,,,,,,,,,,,
6/30/14,-0.000878707,0.007098993,0.000260999,,,,,,,,,,,,,,,
7/1/14,0.006156618,-0.002430881,0.010169241,,,,,,,,,,,,,,,
7/2/14,-0.000873774,-0.005847181,0.001033013,,,,,,,,,,,,,,,
7/3/14,0.007873893,0.001838354,0.004383365,,,,,,,,,,,,,,,
7/7/14,-0.004340268,-0.020917888,0.001027093,,,,,,,,,,,,,,,
7/8/14,-0.008718698,-0.001749035,-0.008976977,,,,,,,,,,,,,,,
7/9/14,0.002638569,0.009637293,0.00491743,,,,,,,,,,,,,,,
7/10/14,-0.006579096,-0.014503987,-0.002833184,,,,,,,,,,,,,,,
7/11/14,0.001765752,-0.014842545,0.005165386,,,,,,,,,,,,,,,
7/14/14,0.006170709,0.012640381,0.007194699,,,,,,,,,,,,,,,
7/15/14,0.007008164,-0.022443614,-0.001785812,,,,,,,,,,,,,,,
7/16/14,-0.001739896,0.018186515,0.009199921,,,,,,,,,,,,,,,
7/17/14,-0.013072062,-0.019888297,-0.01291482,,,,,,,,,,,,,,,
7/18/14,0.011479124,0.013183404,0.012057609,,,,,,,,,,,,,,,
7/21/14,-0.002618667,0.001658183,-0.001267069,,,,,,,,,,,,,,,
7/22/14,0.003063133,0.008405687,0.008375288,,,,,,,,,,,,,,,
7/23/14,0.002181076,0.007072024,0.001761961,,,,,,,,,,,,,,,
7/24/14,0.002177104,0.000878203,-0.000753504,,,,,,,,,,,,,,,
7/25/14,-0.005646989,-0.01453432,-0.001257416,,,,,,,,,,,,,,,
7/28/14,0.000436502,-0.013096209,0.001762519,,,,,,,,,,,,,,,
7/29/14,-0.005240333,0.003994053,-0.002010906,,,,,,,,,,,,,,,
7/30/14,0.004390264,-0.009367458,0.001007436,,,,,,,,,,,,,,,
7/31/14,-0.020541857,-0.024741126,-0.018867848,,,,,,,,,,,,,,,
8/1/14,-0.008478452,-0.020321189,-0.005384648,,,,,,,,,,,,,,,
8/4/14,0.00810082,0.027657448,0.007218253,,,,,,,,,,,,,,,
8/5/14,-0.010267763,-0.02717722,-0.009470377,,,,,,,,,,,,,,,
8/6/14,0.004059444,0.004881828,-0.00310051,,,,,,,,,,,,,,,
8/7/14,-0.004492487,-0.004858111,-0.004147508,,,,,,,,,,,,,,,
8/8/14,0.009927885,0.030376941,0.0065072,,,,,,,,,,,,,,,
8/11/14,0.000893693,0.000395269,0.004913497,,,,,,,,,,,,,,,
8/12/14,0.002232039,-0.018681854,-0.000514575,,,,,,,,,,,,,,,
8/13/14,0.004453938,0.000670192,0.00978354,,,,,,,,,,,,,,,
8/14/14,0.006208495,-0.011521857,0.001784786,,,,,,,,,,,,,,,
8/15/14,-0.004847309,0.014909066,0,,,,,,,,,,,,,,,
8/18/14,0.011071686,0.005875697,0.009417262,,,,,,,,,,,,,,,
8/19/14,0.0017517,0.009692425,0.006303602,,,,,,,,,,,,,,,
8/20/14,0.00262383,0.001972398,0,,,,,,,,,,,,,,,
8/21/14,0.011775013,0.00813661,0.004760862,,,,,,,,,,,,,,,
8/22/14,-0.003448294,-0.006378868,0.000249204,,,,,,,,,,,,,,,
8/25/14,0.0086505,0.018210323,0.000997162,,,,,,,,,,,,,,,
8/26/14,0.002143919,0.003859916,0.000498042,,,,,,,,,,,,,,,
8/27/14,-0.002139332,-0.005254807,-0.000248883,,,,,,,,,,,,,,,
8/28/14,-0.003001651,0.005798135,-0.001493726,,,,,,,,,,,,,,,
8/29/14,0.004730809,0.012683174,0.004488194,,,,,,,,,,,,,,,
9/2/14,0.003852967,-0.018596416,0.000248852,,,,,,,,,,,,,,,
9/3/14,-0.001705576,0.001288845,-0.005460609,,,,,,,,,,,,,,,
9/4/14,0.000854055,-0.02381548,-0.000499235,,,,,,,,,,,,,,,
9/5/14,0.001280338,0.010945115,0.005992818,,,,,,,,,,,,,,,
9/8/14,0.000426528,-0.021261995,0.001489019,,,,,,,,,,,,,,,
9/9/14,-0.010226,-0.012262335,-0.007187378,,,,,,,,,,,,,,,
9/10/14,0.005166017,0.002968949,0.005991096,,,,,,,,,,,,,,,
9/11/14,0.002569575,0.006457738,0.002233228,,,,,,,,,,,,,,,
9/12/14,-0.000854498,-0.019516336,-0.004208865,,,,,,,,,,,,,,,
9/15/14,-0.000427488,0.001772613,-0.005967177,,,,,,,,,,,,,,,
9/16/14,0.004277087,0.017283286,0.007503449,,,,,,,,,,,,,,,
9/17/14,0.004258619,-0.002675521,0.001986867,,,,,,,,,,,,,,,
9/18/14,0.009754005,-0.015828059,0.005945828,,,,,,,,,,,,,,,
9/19/14,-0.002614202,-0.012335532,-0.002127419,,,,,,,,,,,,,,,
9/22/14,-0.006765591,-0.030290575,-0.006692809,,,,,,,,,,,,,,,
9/23/14,-0.006811487,-0.00014293,-0.002246015,,,,,,,,,,,,,,,
9/24/14,0.005572736,0.011555093,0.006503003,,,,,,,,,,,,,,,
9/25/14,-0.016624237,-0.021858926,-0.021868447,,,,,,,,,,,,,,,
9/26/14,0.00953591,0.0135525,0.010924863,,,,,,,,,,,,,,,
9/29/14,-0.003434832,0.011379864,-0.00025149,,,,,,,,,,,,,,,
9/30/14,-0.001723621,-0.031926822,0.003016509,,,,,,,,,,,,,,,
10/1/14,-0.012084335,-0.028911997,-0.015538863,,,,,,,,,,,,,,,
10/2/14,0.002621254,-0.005684828,-0.000509309,,,,,,,,,,,,,,,
10/3/14,0.014378754,-0.014143995,0.008150828,,,,,,,,,,,,,,,
10/6/14,-0.003006603,-0.006715514,0.00025271,,,,,,,,,,,,,,,
10/7/14,-0.016802861,-0.027965552,-0.015660537,,,,,,,,,,,,,,,
10/8/14,0.018842906,0.01027506,0.018989131,,,,,,,,,,,,,,,
10/9/14,-0.021075465,-0.054295297,-0.016620571,,,,,,,,,,,,,,,
10/10/14,-0.007908095,-0.027961095,-0.025608538,,,,,,,,,,,,,,,
10/13/14,-0.008857576,-0.058553384,-0.011037677,,,,,,,,,,,,,,,
10/14/14,0.004021217,-0.016633514,0.001594414,,,,,,,,,,,,,,,
10/15/14,-0.019136612,0.041551557,-0.006898118,,,,,,,,,,,,,,,
10/16/14,0,0.047307997,-0.005878126,,,,,,,,,,,,,,,
10/17/14,0.012704169,-0.025956291,0.011824732,,,,,,,,,,,,,,,
10/20/14,0.005824245,0.013323949,0.007171684,,,,,,,,,,,,,,,
10/21/14,0.018708531,0.033811561,0.019515053,,,,,,,,,,,,,,,
10/22/14,-0.00918254,-0.043937976,-0.004656417,,,,,,,,,,,,,,,
10/23/14,0.009708842,0.031271508,0.011174853,,,,,,,,,,,,,,,
10/24/14,0.009615293,-0.012397239,0.00873783,,,,,,,,,,,,,,,
10/27/14,0.001298776,-0.036980363,0.001019023,,,,,,,,,,,,,,,
10/28/14,0.010808266,0.046503333,0.013744115,,,,,,,,,,,,,,,
10/29/14,0.002566381,0.011108993,-0.001003985,,,,,,,,,,,,,,,
10/30/14,0.005546206,-0.014982495,0.003266388,,,,,,,,,,,,,,,
10/31/14,0.01145521,0.028731126,0.015531085,,,,,,,,,,,,,,,
11/3/14,0.003775199,-0.02119303,0.004193842,,,,,,,,,,,,,,,
11/4/14,0.00041791,-0.041288942,-0.00024539,,,,,,,,,,,,,,,
11/5/14,0.006683575,0.028011437,0.002702566,,,,,,,,,,,,,,,
11/6/14,0.001659785,0.009025736,-0.000490104,,,,,,,,,,,,,,,
11/7/14,0.000414029,0.04151883,0.001225792,,,,,,,,,,,,,,,
11/10/14,0.005382782,-0.028196205,0.002693413,,,,,,,,,,,,,,,
11/11/14,-0.003294779,0.01283975,0.000488401,,,,,,,,,,,,,,,
11/12/14,-0.002065991,-0.006750167,0.003173139,,,,,,,,,,,,,,,
11/13/14,-0.000413858,-0.028012441,0.00535272,,,,,,,,,,,,,,,
11/14/14,-0.00331413,0.02404474,0.007018646,,,,,,,,,,,,,,,
11/17/14,0,-0.025311922,-0.001922997,,,,,,,,,,,,,,,
11/18/14,0.00332515,0.003075037,0.003371088,,,,,,,,,,,,,,,
11/19/14,-0.00207137,0.002554999,-0.00647919,,,,,,,,,,,,,,,
11/20/14,0,0.033299495,0.005072522,,,,,,,,,,,,,,,
11/21/14,0.004980932,0.019565913,0.001441609,,,,,,,,,,,,,,,
11/24/14,0.006608916,-0.014029962,0.005279719,,,,,,,,,,,,,,,
11/25/14,-0.000820365,-0.016519528,0.000477333,,,,,,,,,,,,,,,
11/26/14,0.001231619,-0.027773127,0.00906695,,,,,,,,,,,,,,,
11/28/14,0.000820755,-0.126240206,0.00472955,,,,,,,,,,,,,,,
12/1/14,-0.006967432,-0.018989837,-0.011296971,,,,,,,,,,,,,,,
12/2/14,0.009492364,-0.004390484,0.000238308,,,,,,,,,,,,,,,
12/3/14,0.004497458,0.022249177,0.003569543,,,,,,,,,,,,,,,
12/4/14,0.001220711,-0.03274506,0,,,,,,,,,,,,,,,
12/5/14,0.008943065,-0.024326097,-0.001185893,,,,,,,,,,,,,,,
12/8/14,0.004834792,-0.069811347,-0.010208697,,,,,,,,,,,,,,,
12/9/14,-0.002405321,0.048470447,-0.000240029,,,,,,,,,,,,,,,
12/10/14,-0.012861938,-0.047933244,-0.015115044,,,,,,,,,,,,,,,
12/11/14,0.002442837,-0.007384384,0.004384543,,,,,,,,,,,,,,,
12/12/14,-0.019496088,-0.009693665,-0.014794605,,,,,,,,,,,,,,,
12/15/14,-0.009113599,-0.026860934,-0.006154915,,,,,,,,,,,,,,,
12/16/14,-0.009615443,0.026432948,-0.013376117,,,,,,,,,,,,,,,
12/17/14,0.022794242,0.081130625,0.018830047,,,,,,,,,,,,,,,
12/18/14,0.023112019,0.004426255,0.028585483,,,,,,,,,,,,,,,
12/19/14,0.000648744,0.053918806,0.001107983,,,,,,,,,,,,,,,
12/22/14,0.006888228,-0.02840023,0.012028017,,,,,,,,,,,,,,,
12/23/14,0.005633785,0.027994821,0.002614476,,,,,,,,,,,,,,,
12/24/14,-0.001600585,-0.017821161,-0.00094813,,,,,,,,,,,,,,,
12/26/14,0,-0.004892957,0.00427113,,,,,,,,,,,,,,,
12/29/14,0.003606736,-0.00368756,-0.004962116,,,,,,,,,,,,,,,
